"date","year","week","US"
2020-01-19,2020,4,0.00304655573119389
2020-01-26,2020,5,0.0182793343871634
2020-02-02,2020,6,0.0121862229247756
2020-02-09,2020,7,0.00609311146238779
2020-02-16,2020,8,0.00609311146238779
2020-02-23,2020,9,0.0304655573119389
2020-03-01,2020,10,1.19120329089681
2020-03-08,2020,11,7.72301877857652
2020-03-15,2020,12,70.0403162601476
2020-03-22,2020,13,308.146925987338
2020-03-29,2020,14,597.530115226252
2020-04-05,2020,15,673.194373366184
2020-04-12,2020,16,602.532559736873
2020-04-19,2020,17,628.641542353203
2020-04-26,2020,18,587.506946870625
2020-05-03,2020,19,532.863923275931
2020-05-10,2020,20,475.287066512097
2020-05-17,2020,21,466.394170332742
2020-05-24,2020,22,442.746804747215
2020-05-31,2020,23,456.965080344698
2020-06-07,2020,24,453.153839124972
2020-06-14,2020,25,556.94999288675
2020-06-21,2020,26,792.844803153092
2020-06-28,2020,27,1024.94969808983
2020-07-05,2020,28,1230.66228072723
2020-07-12,2020,29,1378.35320946405
2020-07-19,2020,30,1403.18263867328
2020-07-26,2020,31,1321.73297119982
2020-08-02,2020,32,1178.14575303292
2020-08-09,2020,33,1184.92738609055
2020-08-16,2020,34,911.337541762145
2020-08-23,2020,35,877.776683827316
2020-08-30,2020,36,868.990417098554
2020-09-06,2020,37,740.690815590784
2020-09-13,2020,38,876.749994545902
2020-09-20,2020,39,883.95509885018
2020-09-27,2020,40,911.465497102858
2020-10-04,2020,41,1012.8365925026
2020-10-11,2020,42,1176.23251603373
2020-10-18,2020,43,1467.71478217143
2020-10-25,2020,44,1731.9151417363
2020-11-01,2020,45,2356.73325664685
2020-11-08,2020,46,3120.74850291566
2020-11-15,2020,47,3657.32008451645
2020-11-22,2020,48,3581.25672757573
2020-11-29,2020,49,4156.24842350262
2020-12-06,2020,50,4590.44354631237
2020-12-13,2020,51,4714.5693664684
2020-12-20,2020,52,4143.18783908298
2020-12-27,2020,53,4553.52538396177
2021-01-03,2021,1,5266.94952575836
2021-01-10,2021,2,4746.14082351077
2021-01-17,2021,3,3714.59228570716
2021-01-24,2021,4,3209.10471223175
2021-01-31,2021,5,2588.69801001996
2021-02-07,2021,6,2004.08224453824
2021-02-14,2021,7,1438.65368705157
2021-02-21,2021,8,1467.7025959485
2021-02-28,2021,9,1287.51710378278
2021-03-07,2021,10,1153.63316561973
2021-03-14,2021,11,1172.7137441642
2021-03-21,2021,12,1310.04333685922
2021-03-28,2021,13,1390.32008037619
2021-04-04,2021,14,1447.21755521196
2021-04-11,2021,15,1434.87291138916
2021-04-18,2021,16,1239.92685670579
2021-04-25,2021,17,1050.91853914254
2021-05-02,2021,18,885.853103070709
2021-05-09,2021,19,716.696142651897
2021-05-16,2021,20,547.258899105815
2021-05-23,2021,21,440.504539729067
2021-05-30,2021,22,308.588676568354
2021-06-06,2021,23,299.942551403234
2021-06-13,2021,24,244.51656298562
2021-06-20,2021,25,262.963457938007
2021-06-27,2021,26,276.212928812965
2021-07-04,2021,27,406.358743093835
2021-07-11,2021,28,676.183044538484
2021-07-18,2021,29,1101.42738660998
2021-07-25,2021,30,1678.40543687361
2021-08-01,2021,31,2356.90995687927
2021-08-08,2021,32,2757.87324977315
2021-08-15,2021,33,3172.04640831749
2021-08-22,2021,34,3294.99321140557
2021-08-29,2021,35,3496.9981357181
2021-09-05,2021,36,3159.95158206468
2021-09-12,2021,37,3102.50572719725
2021-09-19,2021,38,2534.51196978497
2021-09-26,2021,39,2307.02565333668
2021-10-03,2021,40,2026.16063392218
2021-10-10,2021,41,1790.64968967799
2021-10-17,2021,42,1556.15324849228
2021-10-24,2021,43,1537.83430888059
2021-10-31,2021,44,1568.83606000122
2021-11-07,2021,45,1730.64168144067
2021-11-14,2021,46,1968.86101372988
2021-11-21,2021,47,1538.38878202369
2021-11-28,2021,48,2581.60562827773
2021-12-05,2021,49,2530.99929102688
2021-12-12,2021,50,2764.76760539284
2021-12-19,2021,51,4081.76013587494
2021-12-26,2021,52,8608.67690208045
2022-01-02,2022,1,14919.7298218106
2022-01-09,2022,2,17014.7030100334
2022-01-16,2022,3,15287.9274078155
2022-01-23,2022,4,11351.9327774553
2022-01-30,2022,5,6379.29272155321
2022-02-06,2022,6,3809.7209884137
2022-02-13,2022,7,2196.07618671807
2022-02-20,2022,8,1399.50849246149
2022-02-27,2022,9,1016.9981876314
2022-03-06,2022,10,716.236112736486
2022-03-13,2022,11,647.161554643128
2022-03-20,2022,12,629.558555628289
2022-03-27,2022,13,592.189503029484
2022-04-03,2022,14,725.534200828086
2022-04-10,2022,15,694.971153732768
2022-04-17,2022,16,978.328255735367
2022-04-24,2022,17,1081.23786177937
2022-05-01,2022,18,1485.95146477837
2022-05-08,2022,19,1667.94661104842
2022-05-15,2022,20,2364.99551578984
2022-05-22,2022,21,2081.00168363945
2022-05-29,2022,22,2275.21351839154
2022-06-05,2022,23,2160.95853880461
2022-06-12,2022,24,2159.27988659669
2022-06-19,2022,25,2076.4684087114
2022-06-26,2022,26,2414.46244119725
2022-07-03,2022,27,2174.83560016024
2022-07-10,2022,28,2828.68129807757
2022-07-17,2022,29,2564.25244683283
2022-07-24,2022,30,2800.80835969286
2022-07-31,2022,31,2321.5912362875
2022-08-07,2022,32,2399.56173711602
2022-08-14,2022,33,1781.64102438086
2022-08-21,2022,34,1971.03320796619
2022-08-28,2022,35,1637.3134931713
2022-09-04,2022,36,1486.64912604081
2022-09-11,2022,37,1220.64520548307
2022-09-18,2022,38,1218.50043024827
2022-09-25,2022,39,966.702599065204
2022-10-02,2022,40,898.965478937724
2022-10-09,2022,41,752.279913592269
