"state","variant","date.1st","date.dominant"
"Washington","Delta","2021-03-21","2021-06-27"
"Washington","Omicron","2021-11-14","2021-12-12"
"California","Delta","2021-02-21","2021-06-13"
"California","Omicron","2021-10-17","2021-12-12"
"Massachusetts","Delta","2021-03-21","2021-06-27"
"Massachusetts","Omicron","2021-11-14","2021-12-26"
"Texas","Delta","2021-03-21","2021-06-27"
"Texas","Omicron","2021-11-14","2021-12-12"
"Florida","Delta","2021-03-21","2021-06-27"
"Florida","Omicron","2021-11-14","2021-12-12"
"New York","Delta","2021-03-07","2021-06-27"
"New York","Omicron","2021-11-14","2021-12-12"
"Pennsylvania","Delta","2021-03-21","2021-06-27"
"Pennsylvania","Omicron","2021-11-14","2021-12-26"
"Iowa","Delta","2021-04-04","2021-06-13"
"Iowa","Omicron","2021-11-28","2021-12-26"
"Michigan","Delta","2021-04-04","2021-06-27"
"Michigan","Omicron","2021-11-28","2021-12-26"
"Wyoming","Delta","2021-05-02","2021-06-13"
"Wyoming","Omicron","2021-11-28","2021-12-26"
