"State","target","Cases.score","Deaths.score","Cases.acc","Deaths.acc"
"All","all","-0.45","-0.2","56%","23%"
"All","1-8wk ahead","-0.31","-0.06","56%","22%"
"All","9-16wk ahead","-0.71","-0.17","46%","20%"
"All","17-26wk ahead","-0.25","-0.12","64%","28%"
"All","peak intensity","-0.84","-0.32","48%","6%"
"All","peak week","-1.21","-2.3","52%","41%"
"All","total","-0.21","-0.13","78%","7%"
"California","all","-0.52","-0.1","60%","52%"
"California","1-8wk ahead","-0.31","-0.04","55%","32%"
"California","9-16wk ahead","-0.99","-0.11","41%","74%"
"California","17-26wk ahead","-0.24","-0.06","73%","43%"
"California","peak intensity","-1.39","-0.1","90%","60%"
"California","peak week","-0.72","-0.86","100%","100%"
"California","total","-0.24","-0.1","60%","60%"
"Florida","all","-0.38","-0.19","28%","8%"
"Florida","1-8wk ahead","-0.06","-0.02","5%","0%"
"Florida","9-16wk ahead","-0.66","-0.2","9%","14%"
"Florida","17-26wk ahead","-0.31","-0.16","56%","13%"
"Florida","peak intensity","-1.2","-0.54","0%","0%"
"Florida","peak week","-0.74","-1.6","90%","0%"
"Florida","total","-0.16","-0.05","50%","0%"
"Iowa","all","-0.37","-0.12","53%","29%"
"Iowa","1-8wk ahead","-0.2","-0.05","86%","12%"
"Iowa","9-16wk ahead","-0.59","-0.09","42%","24%"
"Iowa","17-26wk ahead","-0.2","-0.07","29%","49%"
"Iowa","peak intensity","-0.71","-0.11","80%","0%"
"Iowa","peak week","-1.37","-1.38","60%","70%"
"Iowa","total","-0.26","-0.05","70%","0%"
"Massachusetts","all","-0.64","-0.31","61%","9%"
"Massachusetts","1-8wk ahead","-0.7","-0.06","41%","18%"
"Massachusetts","9-16wk ahead","-0.86","-0.46","72%","6%"
"Massachusetts","17-26wk ahead","-0.36","-0.2","78%","0%"
"Massachusetts","peak intensity","-1.33","-0.61","0%","0%"
"Massachusetts","peak week","-0.95","-1.62","0%","70%"
"Massachusetts","total","-0.26","-0.7","80%","0%"
"Michigan","all","-0.32","-0.32","51%","17%"
"Michigan","1-8wk ahead","-0.3","-0.2","45%","25%"
"Michigan","9-16wk ahead","-0.46","-0.21","64%","12%"
"Michigan","17-26wk ahead","-0.11","-0.22","41%","19%"
"Michigan","peak intensity","-0.35","-0.12","100%","0%"
"Michigan","peak week","-1.81","-3.59","0%","0%"
"Michigan","total","-0.06","-0.05","90%","0%"
"New York","all","-0.76","-0.14","66%","17%"
"New York","1-8wk ahead","-0.68","-0.07","52%","14%"
"New York","9-16wk ahead","-1.27","-0.05","48%","0%"
"New York","17-26wk ahead","-0.34","-0.05","98%","37%"
"New York","peak intensity","-0.97","-0.11","30%","0%"
"New York","peak week","-1.76","-2.31","10%","0%"
"New York","total","-0.24","-0.06","90%","0%"
"Pennsylvania","all","-0.49","-0.12","59%","37%"
"Pennsylvania","1-8wk ahead","-0.33","-0.05","81%","25%"
"Pennsylvania","9-16wk ahead","-0.75","-0.1","34%","30%"
"Pennsylvania","17-26wk ahead","-0.34","-0.08","62%","53%"
"Pennsylvania","peak intensity","-0.73","-0.16","0%","0%"
"Pennsylvania","peak week","-1.09","-1.33","100%","90%"
"Pennsylvania","total","-0.21","-0.08","80%","0%"
"Texas","all","-0.37","-0.08","64%","10%"
"Texas","1-8wk ahead","-0.22","-0.03","78%","4%"
"Texas","9-16wk ahead","-0.67","-0.05","60%","19%"
"Texas","17-26wk ahead","-0.18","-0.04","50%","3%"
"Texas","peak intensity","-0.75","-0.09","70%","0%"
"Texas","peak week","-0.83","-1.22","100%","70%"
"Texas","total","-0.26","-0.05","80%","0%"
"Washington","all","-0.26","-0.3","78%","31%"
"Washington","1-8wk ahead","-0.21","-0.04","75%","65%"
"Washington","9-16wk ahead","-0.35","-0.1","62%","12%"
"Washington","17-26wk ahead","-0.15","-0.07","92%","26%"
"Washington","peak intensity","-0.52","-0.08","90%","0%"
"Washington","peak week","-0.76","-6.85","60%","0%"
"Washington","total","-0.22","-0.06","90%","10%"
"Wyoming","all","-0.35","-0.29","44%","21%"
"Wyoming","1-8wk ahead","-0.14","-0.03","40%","25%"
"Wyoming","9-16wk ahead","-0.47","-0.3","29%","9%"
"Wyoming","17-26wk ahead","-0.27","-0.21","63%","33%"
"Wyoming","peak intensity","-0.42","-1.29","20%","0%"
"Wyoming","peak week","-2.1","-2.23","0%","10%"
"Wyoming","total","-0.21","-0.04","90%","0%"
